site,crop,strip,transect,dist,date,season,seeds,germ.only.eaten,notes
BAUF1,soy,N,c,-4.5,11/2/2024,fall,22,15,
BAUF1,soy,N,w,-4.5,11/2/2024,fall,41,,
BAUF1,soy,N,w,10,11/2/2024,fall,49,,
BAUF1,soy,N,w,25,11/2/2024,fall,49,,
BAUF1,soy,N,w,50,11/2/2024,fall,46,,
BAUF1,soy,N,w,100,11/2/2024,fall,0,,
ASP4F1,corn,Y,n,100,11/2/2024,fall,50,,
ASP4F1,corn,Y,n,75,11/2/2024,fall,50,,
ASP4F1,corn,Y,n,50,11/2/2024,fall,50,,
ASP4F1,corn,Y,n,25,11/2/2024,fall,50,,
ASP4F1,corn,Y,n,10,11/2/2024,fall,50,,
ASP4F1,corn,Y,n,-4.5,11/2/2024,fall,0,,
ASP4F1,corn,Y,s,-4.5,11/2/2024,fall,0,,
ASP4F1,corn,Y,s,10,11/2/2024,fall,50,,
ASP4F1,corn,Y,s,25,11/2/2024,fall,50,,
ASP4F1,corn,Y,s,50,11/2/2024,fall,50,,
ASP4F1,corn,Y,s,75,11/2/2024,fall,50,,
ASP4F1,corn,Y,s,100,11/2/2024,fall,49,1,
ASP4F1,corn,Y,c,100,11/2/2024,fall,50,,
ASP4F1,corn,Y,c,75,11/2/2024,fall,50,,
ASP4F1,corn,Y,c,50,11/2/2024,fall,49,1,
ASP4F1,corn,Y,c,25,11/2/2024,fall,50,,
ASP4F1,corn,Y,c,10,11/2/2024,fall,50,,
ASP4F1,corn,Y,c,-4.5,11/2/2024,fall,0,,
ASP5F2,soy,Y,w,-4.5,11/2/2024,fall,0,,
ASP5F2,soy,Y,w,10,11/2/2024,fall,50,,
ASP5F2,soy,Y,w,25,11/2/2024,fall,50,,
ASP5F2,soy,Y,w,50,11/2/2024,fall,50,,
ASP5F2,soy,Y,w,75,11/2/2024,fall,48,1,
ASP5F2,soy,Y,w,100,11/2/2024,fall,50,,
ASP5F2,soy,Y,e,100,11/2/2024,fall,50,,
ASP5F2,soy,Y,e,75,11/2/2024,fall,50,,
ASP5F2,soy,Y,e,50,11/2/2024,fall,50,,
ASP5F2,soy,Y,e,25,11/2/2024,fall,50,,
ASP5F2,soy,Y,e,10,11/2/2024,fall,49,1,
ASP5F2,soy,Y,e,-4.5,11/2/2024,fall,0,,
ASP5F2,soy,Y,c,100,11/2/2024,fall,50,,
ASP5F2,soy,Y,c,75,11/2/2024,fall,50,,
ASP5F2,soy,Y,c,50,11/2/2024,fall,48,,
ASP5F2,soy,Y,c,25,11/2/2024,fall,50,,
ASP5F2,soy,Y,c,10,11/2/2024,fall,50,,
ASP5F2,soy,Y,c,-4.5,11/2/2024,fall,0,,
ASP5F1,soy,Y,e,100,11/2/2024,fall,0,,
ASP5F1,soy,Y,e,50,11/2/2024,fall,46,1,
ASP5F1,soy,Y,e,25,11/2/2024,fall,49,1,
ASP5F1,soy,Y,e,10,11/2/2024,fall,50,,
ASP5F1,soy,Y,e,-4.5,11/2/2024,fall,0,,
ASP5F1,soy,Y,w,100,11/2/2024,fall,49,,
ASP5F1,soy,Y,w,50,11/2/2024,fall,50,,
ASP5F1,soy,Y,w,25,11/2/2024,fall,50,,
ASP5F1,soy,Y,w,10,11/2/2024,fall,50,,
ASP5F1,soy,Y,w,-4.5,11/2/2024,fall,0,,
ASP5F1,soy,Y,c,100,11/2/2024,fall,44,5,
ASP5F1,soy,Y,c,50,11/2/2024,fall,48,,
ASP5F1,soy,Y,c,25,11/2/2024,fall,50,,
ASP5F1,soy,Y,c,10,11/2/2024,fall,48,2,
ASP5F1,soy,Y,c,-4.5,11/2/2024,fall,0,,1 soy bean
BAUF1,corn,N,e,25,11/9/2024,fall,48,,
BAUF1,corn,N,e,75,11/9/2024,fall,49,1,
BAUF1,corn,N,e,100,11/9/2024,fall,45,,
BAUF1,corn,N,e,-4.5,11/9/2024,fall,47,,
BAUF1,corn,N,e,50,11/9/2024,fall,48,1,
BAUF1,corn,N,c,100,11/9/2024,fall,45,,
BAUF1,corn,N,e,10,11/9/2024,fall,30,,
BAUF1,corn,N,c,75,11/9/2024,fall,46,1,
BAUF1,corn,N,c,50,11/9/2024,fall,50,,
BAUF1,corn,N,c,25,11/9/2024,fall,49,1,
BAUF1,corn,N,c,10,11/9/2024,fall,50,,
BAUF1,corn,N,c,-4.5,11/9/2024,fall,42,,
BAUF1,corn,N,w,-4.5,11/9/2024,fall,47,,
BAUF1,corn,N,w,10,11/9/2024,fall,49,,
BAUF1,corn,N,w,25,11/9/2024,fall,45,,
BAUF1,corn,N,w,50,11/9/2024,fall,45,,
BAUF1,corn,N,w,75,11/9/2024,fall,50,,
BAUF1,corn,N,w,100,11/9/2024,fall,50,,
ASP5F2,soy,Y,e,-4.5,11/9/2024,fall,0,,
ASP5F2,soy,Y,e,10,11/9/2024,fall,50,,
ASP5F2,soy,Y,e,25,11/9/2024,fall,49,1,
ASP5F2,soy,Y,e,50,11/9/2024,fall,50,,
ASP5F2,soy,Y,e,75,11/9/2024,fall,50,,
ASP5F2,soy,Y,e,100,11/9/2024,fall,50,,
ASP5F2,soy,Y,c,-4.5,11/9/2024,fall,0,,
ASP5F2,soy,Y,c,10,11/9/2024,fall,49,1,
ASP5F2,soy,Y,c,25,11/9/2024,fall,49,,1 soybean
ASP5F2,soy,Y,c,50,11/9/2024,fall,48,,
ASP5F2,soy,Y,c,75,11/9/2024,fall,50,,
ASP5F2,soy,Y,c,100,11/9/2024,fall,50,,
ASP5F2,soy,Y,w,-4.5,11/9/2024,fall,0,,
ASP5F2,soy,Y,w,10,11/9/2024,fall,49,,
ASP5F2,soy,Y,w,25,11/9/2024,fall,50,,
ASP5F2,soy,Y,w,50,11/9/2024,fall,50,,
ASP5F2,soy,Y,w,75,11/9/2024,fall,50,,
ASP5F2,soy,Y,w,100,11/9/2024,fall,49,1,
ASP4F1,corn,Y,n,-4.5,11/9/2024,fall,0,,
ASP4F1,corn,Y,n,10,11/9/2024,fall,19,,
ASP4F1,corn,Y,n,25,11/9/2024,fall,44,1,
ASP4F1,corn,Y,n,50,11/9/2024,fall,49,,
ASP4F1,corn,Y,n,75,11/9/2024,fall,48,2,
ASP4F1,corn,Y,n,100,11/9/2024,fall,50,,
ASP4F1,corn,Y,s,-4.5,11/9/2024,fall,0,,
ASP4F1,corn,Y,s,10,11/9/2024,fall,47,,
ASP4F1,corn,Y,s,25,11/9/2024,fall,48,,
ASP4F1,corn,Y,c,-4.5,11/9/2024,fall,0,,
ASP4F1,corn,Y,c,10,11/9/2024,fall,42,2,
ASP4F1,corn,Y,s,50,11/9/2024,fall,50,,
ASP4F1,corn,Y,c,75,11/9/2024,fall,50,,
ASP4F1,corn,Y,s,75,11/9/2024,fall,50,,
ASP4F1,corn,Y,s,100,11/9/2024,fall,49,1,
ASP4F1,corn,Y,c,25,11/9/2024,fall,35,,
ASP4F1,corn,Y,c,50,11/9/2024,fall,50,,
ASP4F1,corn,Y,c,100,11/9/2024,fall,49,1,
ASP4F2,corn,Y,w,-4.5,11/9/2024,fall,0,,
ASP4F2,corn,Y,w,25,11/9/2024,fall,45,2,
ASP4F2,corn,Y,e,-4.5,11/9/2024,fall,0,,
ASP4F2,corn,Y,e,75,11/9/2024,fall,26,7,
ASP4F2,corn,Y,w,10,11/9/2024,fall,47,2,
ASP4F2,corn,Y,e,10,11/9/2024,fall,48,1,
ASP4F2,corn,Y,w,50,11/9/2024,fall,3,,
ASP4F2,corn,Y,w,75,11/9/2024,fall,13,6,
ASP4F2,corn,Y,e,50,11/9/2024,fall,47,1,knocked over
ASP4F2,corn,Y,e,25,11/9/2024,fall,44,,
ASP4F2,corn,Y,c,-4.5,11/9/2024,fall,0,,"1 corn, does not look like ours"
ASP4F2,corn,Y,c,10,11/9/2024,fall,50,,+1 corn that does not look like ours
ASP4F2,corn,Y,c,25,11/9/2024,fall,9,,
ASP4F2,corn,Y,c,50,11/9/2024,fall,1,,
ASP4F2,corn,Y,c,75,11/9/2024,fall,1,33,
BAUF2,corn,N,w,100,11/9/2024,fall,1,,
BAUF2,corn,N,w,-4.5,11/9/2024,fall,28,,spilled during collection
BAUF2,corn,N,w,25,11/9/2024,fall,39,,
BAUF2,corn,N,e,10,11/9/2024,fall,38,,
BAUF2,corn,N,w,75,11/9/2024,fall,0,,
BAUF2,corn,N,e,-4.5,11/9/2024,fall,39,,
BAUF2,corn,N,w,50,11/9/2024,fall,3,,
BAUF2,corn,N,w,10,11/9/2024,fall,44,,
BAUF2,corn,N,e,100,11/9/2024,fall,2,,
BAUF2,corn,N,e,50,11/9/2024,fall,0,,
BAUF2,corn,N,e,75,11/9/2024,fall,3,5,
BAUF2,corn,N,c,75,11/9/2024,fall,2,,
BAUF2,corn,N,c,50,11/9/2024,fall,1,,
BAUF2,corn,N,c,25,11/9/2024,fall,12,,
BAUF2,corn,N,c,10,11/9/2024,fall,3,,
BAUF2,corn,N,c,-4.5,11/9/2024,fall,10,,
BAUF2,corn,N,c,100,11/9/2024,fall,4,,
BAUF1,soy,N,e,-4.5,11/9/2024,fall,16,,
BAUF1,soy,N,e,10,11/9/2024,fall,0,,
BAUF1,soy,N,e,75,11/9/2024,fall,13,3,
BAUF1,soy,N,e,100,11/9/2024,fall,0,,
BAUF1,soy,N,c,-4.5,11/9/2024,fall,19,,
BAUF1,soy,N,c,10,11/9/2024,fall,18,17,
BAUF1,soy,N,c,25,11/9/2024,fall,41,3,
BAUF1,soy,N,c,50,11/9/2024,fall,2,,
BAUF1,soy,N,c,75,11/9/2024,fall,1,,
BAUF1,soy,N,c,100,11/9/2024,fall,1,,
BAUF1,soy,N,w,-4.5,11/9/2024,fall,36,2,
BAUF1,soy,N,e,50,11/9/2024,fall,5,,
BAUF1,soy,N,w,100,11/9/2024,fall,0,,
BAUF1,soy,N,w,75,11/9/2024,fall,0,,
BAUF1,soy,N,w,10,11/9/2024,fall,47,1,
BAUF1,soy,N,e,25,11/9/2024,fall,6,13,
BAUF1,soy,N,w,25,11/9/2024,fall,42,,
BAUF1,soy,N,w,50,11/9/2024,fall,29,,
BAUF2,soy,N,n,100,11/9/2024,fall,0,,
BAUF2,soy,N,n,25,11/9/2024,fall,8,,
BAUF2,soy,N,c,-4.5,11/9/2024,fall,0,,
BAUF2,soy,N,s,10,11/9/2024,fall,1,,
BAUF2,soy,N,n,-4.5,11/9/2024,fall,5,,
BAUF2,soy,N,c,100,11/9/2024,fall,0,,
BAUF2,soy,N,n,50,11/9/2024,fall,2,,
BAUF2,soy,N,c,75,11/9/2024,fall,3,,
BAUF2,soy,N,c,25,11/9/2024,fall,47,,
BAUF2,soy,N,s,100,11/9/2024,fall,0,,
BAUF2,soy,N,c,50,11/9/2024,fall,45,,
BAUF2,soy,N,n,10,11/9/2024,fall,41,,
BAUF2,soy,N,s,-4.5,11/9/2024,fall,0,,
BAUF2,soy,N,c,10,11/9/2024,fall,48,1,
BAUF2,soy,N,s,50,11/9/2024,fall,29,,
BAUF2,soy,N,n,75,11/9/2024,fall,39,1,
BAUF2,soy,N,s,75,11/9/2024,fall,0,,
BAUF2,soy,N,s,25,11/9/2024,fall,48,,
ASP5F1,soy,Y,c,100,11/9/2024,fall,41,6,
ASP5F1,soy,Y,c,75,11/9/2024,fall,50,,
ASP5F1,soy,Y,c,50,11/9/2024,fall,50,,
ASP5F1,soy,Y,c,25,11/9/2024,fall,50,,
ASP5F1,soy,Y,c,10,11/9/2024,fall,49,,
ASP5F1,soy,Y,c,-4.5,11/9/2024,fall,0,,
ASP5F1,soy,Y,w,75,11/9/2024,fall,49,,
ASP5F1,soy,Y,e,75,11/9/2024,fall,50,,
ASP5F1,soy,Y,e,25,11/9/2024,fall,50,,
ASP5F1,soy,Y,e,50,11/9/2024,fall,49,1,
ASP5F1,soy,Y,e,100,11/9/2024,fall,0,,
ASP5F1,soy,Y,e,-4.5,11/9/2024,fall,0,,
ASP5F1,soy,Y,e,10,11/9/2024,fall,46,,
ASP5F1,soy,Y,w,100,11/9/2024,fall,50,,
ASP5F1,soy,Y,w,-4.5,11/9/2024,fall,0,,
ASP5F1,soy,Y,w,50,11/9/2024,fall,50,,
ASP5F1,soy,Y,w,25,11/9/2024,fall,48,2,
ASP5F1,soy,Y,w,10,11/9/2024,fall,50,,
BAUF2,corn,N,e,25,11/9/2024,fall,,,"tipped and soaked, toss (14 remaining)"
ASP5F2,soy,Y,c,100,11/15/2024,fall,50,,
ASP5F2,soy,Y,c,75,11/15/2024,fall,50,,
ASP5F2,soy,Y,c,50,11/15/2024,fall,48,,
ASP5F2,soy,Y,c,25,11/15/2024,fall,50,,
ASP5F2,soy,Y,c,10,11/15/2024,fall,49,,
ASP5F2,soy,Y,c,-4.5,11/15/2024,fall,0,,
ASP5F2,soy,Y,e,-4.5,11/15/2024,fall,0,,
ASP5F2,soy,Y,e,10,11/15/2024,fall,51,,
ASP5F2,soy,Y,e,25,11/15/2024,fall,50,,
ASP5F2,soy,Y,e,75,11/15/2024,fall,50,,
ASP5F2,soy,Y,e,100,11/15/2024,fall,47,,
ASP5F2,soy,Y,w,100,11/15/2024,fall,50,,
ASP5F2,soy,Y,w,75,11/15/2024,fall,50,,
ASP5F2,soy,Y,w,50,11/15/2024,fall,50,,
ASP5F2,soy,Y,w,25,11/15/2024,fall,50,,
ASP5F2,soy,Y,w,10,11/15/2024,fall,49,,
ASP5F2,soy,Y,w,-4.5,11/15/2024,fall,0,,
BAUF2,soy,N,s,10,11/15/2024,fall,0,,
BAUF2,soy,N,s,-4.5,11/15/2024,fall,0,,
BAUF2,soy,N,s,25,11/15/2024,fall,0,,
BAUF2,soy,N,s,50,11/15/2024,fall,29,7,
BAUF2,soy,N,s,75,11/15/2024,fall,0,,
BAUF2,soy,N,s,100,11/15/2024,fall,0,,
BAUF2,soy,N,n,-4.5,11/15/2024,fall,23,,
BAUF2,soy,N,n,10,11/15/2024,fall,0,,
BAUF2,soy,N,n,25,11/15/2024,fall,1,,
BAUF2,soy,N,n,50,11/15/2024,fall,2,,
BAUF2,soy,N,n,75,11/15/2024,fall,2,,
BAUF2,soy,N,n,100,11/15/2024,fall,0,,
BAUF2,soy,N,c,-4.5,11/15/2024,fall,1,,
BAUF2,soy,N,c,10,11/15/2024,fall,4,,
BAUF2,soy,N,c,25,11/15/2024,fall,25,,
BAUF2,soy,N,c,50,11/15/2024,fall,44,,
BAUF2,soy,N,c,75,11/15/2024,fall,0,,
BAUF2,soy,N,c,100,11/15/2024,fall,0,,
ASP4F2,corn,Y,w,75,11/15/2024,fall,15,23,
ASP4F2,corn,Y,w,50,11/15/2024,fall,20,,
ASP4F2,corn,Y,w,25,11/15/2024,fall,43,,
ASP4F2,corn,Y,w,10,11/15/2024,fall,41,1,
ASP4F2,corn,Y,w,-4.5,11/15/2024,fall,0,,
ASP4F2,corn,Y,e,75,11/15/2024,fall,38,13,
ASP4F2,corn,Y,e,50,11/15/2024,fall,47,,
ASP4F2,corn,Y,e,25,11/15/2024,fall,47,1,
ASP4F2,corn,Y,e,-4.5,11/15/2024,fall,0,,
ASP4F2,corn,Y,e,10,11/15/2024,fall,46,,
ASP4F2,corn,Y,c,-4.5,11/15/2024,fall,0,,
ASP4F2,corn,Y,c,10,11/15/2024,fall,50,,
ASP4F2,corn,Y,c,25,11/15/2024,fall,49,,
ASP4F2,corn,Y,c,50,11/15/2024,fall,22,17,
ASP4F2,corn,Y,c,75,11/15/2024,fall,12,33,
BAUF1,soy,N,w,100,11/15/2024,fall,0,,
BAUF1,soy,N,w,75,11/15/2024,fall,0,,
BAUF1,soy,N,w,50,11/15/2024,fall,1,1,
BAUF1,soy,N,w,25,11/15/2024,fall,12,,
BAUF1,soy,N,w,10,11/15/2024,fall,46,1,
BAUF1,soy,N,w,-4.5,11/15/2024,fall,42,,
BAUF1,soy,N,e,100,11/15/2024,fall,0,,
BAUF1,soy,N,e,75,11/15/2024,fall,7,1,
BAUF1,soy,N,e,50,11/15/2024,fall,0,,
BAUF1,soy,N,e,25,11/15/2024,fall,8,,
BAUF1,soy,N,e,10,11/15/2024,fall,12,,
BAUF1,soy,N,e,-4.5,11/15/2024,fall,32,,
BAUF1,soy,N,c,100,11/15/2024,fall,1,,
BAUF1,soy,N,c,75,11/15/2024,fall,0,,
BAUF1,soy,N,c,50,11/15/2024,fall,0,,
BAUF1,soy,N,c,25,11/15/2024,fall,37,,
BAUF1,soy,N,c,10,11/15/2024,fall,15,8,
BAUF1,soy,N,c,-4.5,11/15/2024,fall,15,,
BAUF2,corn,N,c,100,11/15/2024,fall,1,,
BAUF2,corn,N,c,75,11/15/2024,fall,0,,
BAUF2,corn,N,c,50,11/15/2024,fall,6,,
BAUF2,corn,N,c,25,11/15/2024,fall,41,,
BAUF2,corn,N,c,10,11/15/2024,fall,0,,
BAUF2,corn,N,c,-4.5,11/15/2024,fall,0,,
BAUF2,corn,N,e,100,11/15/2024,fall,0,,
BAUF2,corn,N,e,75,11/15/2024,fall,0,,
BAUF2,corn,N,e,50,11/15/2024,fall,0,,
BAUF2,corn,N,e,-4.5,11/15/2024,fall,4,,
BAUF2,corn,N,e,10,11/15/2024,fall,0,,
BAUF2,corn,N,w,100,11/15/2024,fall,13,1,
BAUF2,corn,N,w,75,11/15/2024,fall,0,,
BAUF2,corn,N,w,50,11/15/2024,fall,5,,
BAUF2,corn,N,w,25,11/15/2024,fall,42,,
BAUF2,corn,N,w,10,11/15/2024,fall,20,,
BAUF2,corn,N,w,-4.5,11/15/2024,fall,8,,
ASP4F1,corn,Y,n,-4.5,11/15/2024,fall,0,,
ASP4F1,corn,Y,s,100,11/15/2024,fall,50,,
ASP4F1,corn,Y,s,75,11/15/2024,fall,50,,
ASP4F1,corn,Y,n,100,11/15/2024,fall,49,,
ASP4F1,corn,Y,n,75,11/15/2024,fall,50,,
ASP4F1,corn,Y,s,50,11/15/2024,fall,50,,
ASP4F1,corn,Y,s,25,11/15/2024,fall,49,,
ASP4F1,corn,Y,s,10,11/15/2024,fall,15,,
ASP4F1,corn,Y,s,-4.5,11/15/2024,fall,0,,
ASP4F1,corn,Y,c,100,11/15/2024,fall,50,,
ASP4F1,corn,Y,c,75,11/15/2024,fall,50,,
ASP4F1,corn,Y,c,50,11/15/2024,fall,50,,
ASP4F1,corn,Y,c,25,11/15/2024,fall,47,,
ASP4F1,corn,Y,c,10,11/15/2024,fall,49,,
ASP4F1,corn,Y,n,50,11/15/2024,fall,50,,
ASP4F1,corn,Y,n,25,11/15/2024,fall,49,,
ASP4F1,corn,Y,n,10,11/15/2024,fall,46,,
BAUF1,corn,N,c,100,11/15/2024,fall,30,,
BAUF1,corn,N,c,75,11/15/2024,fall,40,,
BAUF1,corn,N,c,50,11/15/2024,fall,45,,
BAUF1,corn,N,c,25,11/15/2024,fall,48,1,
BAUF1,corn,N,c,10,11/15/2024,fall,44,,
BAUF1,corn,N,c,-4.5,11/15/2024,fall,40,,
BAUF1,corn,N,w,100,11/15/2024,fall,48,,
BAUF1,corn,N,w,75,11/15/2024,fall,47,,
BAUF1,corn,N,w,50,11/15/2024,fall,35,,
BAUF1,corn,N,w,25,11/15/2024,fall,39,,
BAUF1,corn,N,w,10,11/15/2024,fall,45,,
BAUF1,corn,N,w,-4.5,11/15/2024,fall,47,,
BAUF1,corn,N,e,100,11/15/2024,fall,36,3,
BAUF1,corn,N,e,75,11/15/2024,fall,22,,
BAUF1,corn,N,e,50,11/15/2024,fall,6,,
BAUF1,corn,N,e,25,11/15/2024,fall,38,,
BAUF1,corn,N,e,10,11/15/2024,fall,42,,
BAUF1,corn,N,e,-4.5,11/15/2024,fall,42,,
ASP5F1,soy,Y,e,-4.5,11/15/2024,fall,0,,
ASP5F1,soy,Y,e,10,11/15/2024,fall,52,,
ASP5F1,soy,Y,e,25,11/15/2024,fall,50,,
ASP5F1,soy,Y,e,50,11/15/2024,fall,50,,
ASP5F1,soy,Y,e,75,11/15/2024,fall,49,,
ASP5F1,soy,Y,e,100,11/15/2024,fall,17,1,
ASP5F1,soy,Y,w,-4.5,11/15/2024,fall,0,,
ASP5F1,soy,Y,w,10,11/15/2024,fall,49,,
ASP5F1,soy,Y,w,25,11/15/2024,fall,49,,
ASP5F1,soy,Y,w,50,11/15/2024,fall,50,,
ASP5F1,soy,Y,w,75,11/15/2024,fall,50,,
ASP5F1,soy,Y,w,100,11/15/2024,fall,50,,
ASP5F1,soy,Y,c,-4.5,11/15/2024,fall,0,,1 soybean
ASP5F1,soy,Y,c,10,11/15/2024,fall,50,,
ASP5F1,soy,Y,c,25,11/15/2024,fall,50,,
ASP5F1,soy,Y,c,50,11/15/2024,fall,50,,
ASP5F1,soy,Y,c,75,11/15/2024,fall,30,18,
ASP5F1,soy,Y,c,100,11/15/2024,fall,49,1,
BAUF2,corn,N,e,25,11/15/2024,fall,14,,
ASP5F2,soy,Y,e,50,11/15/2024,fall,50,,
ASP4F1,corn,Y,c,-4.5,11/15/2024,fall,0,,
ASP4F1,corn,Y,n,-4.5,3/11/2025,spring,50,,
ASP4F1,corn,Y,n,10,3/11/2025,spring,50,,
ASP4F1,corn,Y,n,25,3/11/2025,spring,50,,
ASP4F1,corn,Y,n,50,3/11/2025,spring,50,,
ASP4F1,corn,Y,n,75,3/11/2025,spring,49,,
ASP4F1,corn,Y,n,100,3/11/2025,spring,50,,
ASP4F1,corn,Y,s,-4.5,3/11/2025,spring,51,,
ASP4F1,corn,Y,s,10,3/11/2025,spring,50,,
ASP4F1,corn,Y,s,25,3/11/2025,spring,45,,
ASP4F1,corn,Y,s,50,3/11/2025,spring,50,,
ASP4F1,corn,Y,s,75,3/11/2025,spring,50,,
ASP4F1,corn,Y,s,100,3/11/2025,spring,50,,
ASP4F1,corn,Y,c,-4.5,3/11/2025,spring,51,,
ASP4F1,corn,Y,c,10,3/11/2025,spring,47,,
ASP4F1,corn,Y,c,25,3/11/2025,spring,50,,
ASP4F1,corn,Y,c,50,3/11/2025,spring,50,,
ASP4F1,corn,Y,c,75,3/11/2025,spring,50,,
ASP4F1,corn,Y,c,100,3/11/2025,spring,50,,
BAU2F2,soy,N,n,-4.5,3/11/2025,spring,49,,
BAU2F2,soy,N,n,10,3/11/2025,spring,49,1,
BAU2F2,soy,N,n,25,3/11/2025,spring,50,,
BAU2F2,soy,N,n,50,3/11/2025,spring,34,,
BAU2F2,soy,N,n,75,3/11/2025,spring,47,,tipped
BAU2F2,soy,N,n,100,3/11/2025,spring,6,,
BAU2F2,soy,N,s,-4.5,3/11/2025,spring,46,,
BAU2F2,soy,N,s,10,3/11/2025,spring,49,,
BAU2F2,soy,N,s,25,3/11/2025,spring,45,,tipped
BAU2F2,soy,N,s,50,3/11/2025,spring,49,,
BAU2F2,soy,N,s,75,3/11/2025,spring,47,,
BAU2F2,soy,N,s,100,3/11/2025,spring,1,,
BAU2F2,soy,N,c,-4.5,3/11/2025,spring,51,,
BAU2F2,soy,N,c,10,3/11/2025,spring,48,,
BAU2F2,soy,N,c,25,3/11/2025,spring,49,,
BAU2F2,soy,N,c,50,3/11/2025,spring,49,,
BAU2F2,soy,N,c,75,3/11/2025,spring,50,,
BAU2F2,soy,N,c,100,3/11/2025,spring,1,,
BAU1F2,corn,N,w,-4.5,3/11/2025,spring,9,,tipped
